ProductID,CAtomCount,TotalAtomCount,HAtomCount,Class,Predicted
1058,25,47,14,low,low
1059,39,84,40,low,low
1060,35,76,30,low,low
1061,17,34,15,low,low
1062,21,54,27,low,low
1063,68,158,84,low,low
1064,36,72,30,low,low
1065,34,72,30,low,low
1066,10,18,8,low,low
1067,40,82,30,high,low
1068,19,43,18,low,low
1069,40,113,49,high,high
1070,12,32,12,low,low
1071,26,66,30,low,low
1072,21,47,20,low,low
1073,61,115,54,low,low
1074,11,21,8,low,low
1075,46,85,34,low,low
1076,38,81,38,low,low
1077,15,30,12,low,low
1078,30,74,38,low,low
1079,21,45,18,low,low
1080,22,40,16,low,low
1081,62,140,68,low,low
1082,10,22,6,low,low
1083,12,24,10,low,low
1084,24,53,24,low,low
1085,10,29,11,low,low
1086,14,35,15,low,low
1087,44,76,30,low,low
1088,22,52,17,low,low
1089,19,41,17,low,low
1090,20,44,17,low,low
1091,25,48,20,low,low
1092,54,124,53,high,high
1093,21,38,16,low,low
1094,48,114,50,low,high
1095,15,37,17,low,low
1096,21,47,18,high,high
1097,40,109,45,high,high
1098,15,33,10,low,low
1099,15,37,17,low,low
1100,13,33,15,low,low
1101,33,71,37,low,low
1102,29,65,28,low,low
1103,37,76,33,low,low
1104,23,51,20,low,low
1105,18,48,25,low,low
1106,27,56,25,low,low
1107,21,56,25,low,low
1108,14,30,14,low,low
1109,17,41,20,low,low
1110,18,34,10,low,low
1111,28,58,23,low,low
1112,19,37,13,low,low
1113,124,284,154,low,low
1114,54,99,36,low,low
1115,18,38,16,low,low
1116,36,80,33,low,low
1117,56,118,44,low,low
1118,26,49,19,low,low
1119,94,156,62,low,low
1120,19,39,15,low,low
1121,42,84,40,low,low
1122,36,80,40,low,low
1123,18,34,9,low,low
1124,32,84,39,high,high
1125,39,74,31,low,low
1126,20,53,21,low,low
1127,13,33,15,low,low
1128,7,16,4,low,low
1129,18,44,20,low,low
1130,24,56,29,low,low
1131,43,108,46,high,high
1132,65,125,53,low,low
1133,11,24,6,low,low
1134,42,100,45,high,high
1135,37,72,31,low,low
1136,31,67,31,low,low
1137,69,147,74,low,low
1138,22,46,20,high,high
1139,23,41,15,low,low
1140,24,55,23,low,low
1141,27,53,20,low,low
1142,20,38,15,low,low
1143,20,39,16,low,low
1144,48,108,56,low,low
1145,26,49,19,low,low
1146,30,67,33,low,low
1147,22,49,15,low,low
1148,36,95,41,low,low
1149,36,70,28,low,low
1150,25,51,23,low,low
1151,28,58,18,low,high
1152,17,39,16,low,low
1153,29,57,26,low,low
1154,36,66,26,low,low
1155,32,71,37,low,low
1156,3,10,6,low,low
1157,17,39,15,low,low
1158,19,36,12,low,low
1159,22,54,28,low,low
1160,33,72,34,low,low
1161,22,46,20,high,high
1162,36,76,33,high,high
1163,19,35,12,low,low
1164,19,36,14,low,low
1165,27,51,19,low,low
1166,71,133,55,low,low
1167,56,122,58,low,low
1168,23,59,23,low,low
1169,24,57,30,low,low
1170,45,76,24,low,low
1171,21,42,15,low,low
1172,18,35,11,low,low
1173,33,64,21,low,low
1174,55,119,59,low,low
1175,104,226,112,low,low
1176,13,23,8,low,low
1177,21,38,11,low,low
1178,31,82,44,low,low
1179,68,136,62,low,low
1180,18,40,14,low,low
